(Research) arcwilbo@crc-dot1x-nat-10-239-114-160 Will_Branch % python Models/MLP.py   
Device: mps
[Epoch 008] Train: 0.000059  Val: 0.001263
[Epoch 009] Train: 0.000054  Val: 0.001282
[Epoch 010] Train: 0.000050  Val: 0.001355
[Epoch 001] Train: 0.153891  Val: 0.005717
[Epoch 002] Train: 0.002523  Val: 0.001601
[Epoch 003] Train: 0.000525  Val: 0.000975
[Epoch 004] Train: 0.000192  Val: 0.000844
[Epoch 005] Train: 0.000124  Val: 0.000798
[Epoch 006] Train: 0.000084  Val: 0.000792
[Epoch 007] Train: 0.000069  Val: 0.000778
[Epoch 008] Train: 0.000064  Val: 0.000821
[Epoch 009] Train: 0.000060  Val: 0.000768
[Epoch 010] Train: 0.000055  Val: 0.000751
[Epoch 001] Train: 0.042153  Val: 0.000081
[Epoch 002] Train: 0.000173  Val: 0.000064
[Epoch 003] Train: 0.000079  Val: 0.000075
[Epoch 004] Train: 0.000059  Val: 0.000074
[Epoch 005] Train: 0.000045  Val: 0.000079
[Epoch 006] Train: 0.000038  Val: 0.000069
[Epoch 007] Train: 0.000035  Val: 0.000069
[Epoch 008] Train: 0.000034  Val: 0.000065
[Epoch 009] Train: 0.000035  Val: 0.000066
[Epoch 010] Train: 0.000033  Val: 0.000065
Params: hidden=[128, 64], dropout=0.2, lr=0.0005, batch=256 → 0.000430
[Epoch 001] Train: 0.006613  Val: 0.082055
[Epoch 002] Train: 0.000519  Val: 0.006867
[Epoch 003] Train: 0.000070  Val: 0.001077
[Epoch 004] Train: 0.000028  Val: 0.001331
[Epoch 005] Train: 0.000015  Val: 0.000759
[Epoch 006] Train: 0.000010  Val: 0.001872
[Epoch 007] Train: 0.000012  Val: 0.000930
[Epoch 008] Train: 0.000015  Val: 0.000109
[Epoch 009] Train: 0.000007  Val: 0.000549
[Epoch 010] Train: 0.000008  Val: 0.000395
[Epoch 001] Train: 0.003141  Val: 0.037269
[Epoch 002] Train: 0.000413  Val: 0.003413
[Epoch 003] Train: 0.000061  Val: 0.001158
[Epoch 004] Train: 0.000033  Val: 0.001209
[Epoch 005] Train: 0.000026  Val: 0.000855
[Epoch 006] Train: 0.000014  Val: 0.000151
[Epoch 007] Train: 0.000007  Val: 0.000162
[Epoch 008] Train: 0.000011  Val: 0.000145
[Epoch 009] Train: 0.000005  Val: 0.000114
[Epoch 010] Train: 0.000005  Val: 0.000102
[Epoch 001] Train: 0.005433  Val: 0.005842
[Epoch 002] Train: 0.000334  Val: 0.002310
[Epoch 003] Train: 0.000089  Val: 0.004494
